iter	Passed	Remaining
987	108657	26724
988	108768	26614
989	108873	26503
990	108985	26393
991	109093	26283
992	109200	26173
993	109308	26062
994	109416	25952
995	109520	25840
996	109634	25731
997	109744	25621
998	109852	25511
999	109962	25401
1000	110073	25291
1001	110179	25180
1002	110291	25071
1003	110398	24960
1004	110508	24850
1005	110617	24740
1006	110726	24630
1007	110834	24520
1008	110941	24409
1009	111054	24300
1010	111157	24188
1011	111263	24077
1012	111374	23968
1013	111484	23858
1014	111587	23746
1015	111695	23636
1016	111797	23524
1017	111906	23414
1018	112009	23303
1019	112119	23193
1020	112227	23082
1021	112332	22972
1022	112441	22861
1023	112549	22751
1024	112659	22641
1025	112764	22530
1026	112874	22421
1027	112981	22310
1028	113089	22200
1029	113193	22089
1030	113295	21977
1031	113403	21867
1032	113511	21757
1033	113617	21646
1034	113722	21535
1035	113827	21425
1036	113937	21315
1037	114043	21204
1038	114153	21094
1039	114263	20984
1040	114387	20877
1041	114505	20769
1042	114615	20659
1043	114721	20548
1044	114828	20438
1045	114936	20328
1046	115047	20218
1047	115154	20108
1048	115262	19997
1049	115371	19887
1050	115480	19777
1051	115591	19668
1052	115698	19557
1053	115806	19447
1054	115912	19337
1055	116024	19227
1056	116136	19117
1057	116246	19008
1058	116354	18898
1059	116464	18788
1060	116578	18678
1061	116684	18568
1062	116788	18457
1063	116896	18347
1064	117007	18237
1065	117114	18127
1066	117225	18017
1067	117335	17907
1068	117442	17797
1069	117557	17688
1070	117671	17579
1071	117779	17469
1072	117890	17359
1073	118000	17249
1074	118110	17139
1075	118229	17031
1076	118337	16921
1077	118455	16812
1078	118578	16704
1079	118699	16595
1080	118813	16486
1081	118915	16375
1082	119031	16266
1083	119156	16158
1084	119278	16050
1085	119406	15942
1086	119527	15834
1087	119640	15724
1088	119742	15613
1089	119844	15502
1090	119942	15391
1091	120054	15281
1092	120166	15171
1093	120278	15062
1094	120399	14953
1095	120516	14844
1096	120632	14735
1097	120750	14626
1098	120865	14517
1099	120974	14407
1100	121083	14296
1101	121198	14187
1102	121316	14078
1103	121437	13969
1104	121555	13860
1105	121663	13750
1106	121773	13640
1107	121888	13530
1108	122004	13421
1109	122114	13311
1110	122225	13201
1111	122335	13091
1112	122445	12981
1113	122556	12871
1114	122681	12763
1115	122798	12653
1116	122907	12543
1117	123016	12433
1118	123131	12324
1119	123248	12214
1120	123362	12105
1121	123469	11994
1122	123584	11885
1123	123697	11775
1124	123831	11667
1125	123962	11559
1126	124081	11450
1127	124194	11340
1128	124304	11230
1129	124418	11120
1130	124533	11010
1131	124647	10901
1132	124760	10791
1133	124873	10681
1134	124980	10571
1135	125090	10460
1136	125195	10350
1137	125307	10240
1138	125413	10129
1139	125543	10021
1140	125647	9910
1141	125749	9800
1142	125863	9690
1143	125971	9580
1144	126080	9469
1145	126189	9359
1146	126293	9249
1147	126391	9138
1148	126501	9027
1149	126610	8917
1150	126719	8807
1151	126827	8697
1152	126935	8587
1153	127046	8477
1154	127163	8367
1155	127275	8257
1156	127384	8147
1157	127515	8038
1158	127635	7929
1159	127758	7819
1160	127898	7711
1161	128009	7601
1162	128115	7490
1163	128231	7381
1164	128344	7270
1165	128454	7160
1166	128568	7050
1167	128677	6940
1168	128782	6830
1169	128887	6719
1170	128998	6609
1171	129098	6498
1172	129209	6388
1173	129316	6278
1174	129427	6168
1175	129536	6058
1176	129645	5948
1177	129754	5837
1178	129861	5727
1179	129984	5617
1180	130093	5507
1181	130190	5397
1182	130299	5286
1183	130408	5176
1184	130514	5066
1185	130623	4956
1186	130733	4846
1187	130846	4736
1188	130964	4626
1189	131073	4515
1190	131184	4405
1191	131292	4295
1192	131398	4185
1193	131501	4075
1194	131606	3964
1195	131716	3854
1196	131824	3744
1197	131935	3634
1198	132040	3524
1199	132157	3414
1200	132262	3303
1201	132371	3193
1202	132481	3083
1203	132595	2973
1204	132704	2863
1205	132814	2753
1206	132950	2643
1207	133058	2533
1208	133171	2423
1209	133279	2313
1210	133386	2202
1211	133491	2092
1212	133602	1982
1213	133712	1872
1214	133819	1762
1215	133927	1652
1216	134040	1541
1217	134155	1431
1218	134270	1321
1219	134373	1211
1220	134481	1101
1221	134587	991
1222	134698	881
1223	134804	770
1224	134907	660
1225	135016	550
1226	135124	440
1227	135231	330
1228	135340	220
1229	135448	110
1230	135555	0
